id,domain,kind,item,current_state,target_state,disposition,owner,priority,evidence_or_gap
DAT-003,Storage & data,data/store,Market-state journal,Mostly context packet/current state,Append v2 revisions + latest projection,BUILD,E01,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-004,Storage & data,data/store,ORIGIN structure journal,structure_atom route/source drift,v2 atoms + transitions,BUILD,ORIGIN,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-005,Storage & data,data/store,ORIGIN checkpoint store,No certified V7 checkpoint,Versioned checksummed per partition,BUILD,ORIGIN,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-006,Storage & data,data/store,Candidate control/treatment ledgers,Current candidate/shadow topics,Physically separate v2 journals,BUILD,Platform,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-007,Storage & data,data/store,Divergence corpus,Prior forensic reports only,Immutable per-offset diff records,BUILD,Evidence,P1,"Owner, provenance, durability, retention and restore proof required"
DAT-008,Storage & data,data/store,Producer lease ledger,Absent,Permanent fencing/audit log,BUILD,Platform,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-009,Storage & data,data/store,Strict money ledgers,v1/v2 current gaps,order/fill.v3/account/position/protection/outcome,REPAIR,Execution/E10,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-010,Storage & data,data/store,Quarantine ledger,Not consistent,Per-source raw ref + rejection,BUILD,Boundary owners,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-011,Storage & data,data/store,DTBNK live projections,Present but not full tape,Derived only from authoritative ledgers,REPAIR,Data,P1,"Owner, provenance, durability, retention and restore proof required"
DAT-012,Storage & data,data/store,shadow.cf_trades,Observed; owner unknown,Owner/migration proven or dependence removed,BLOCKED,Data,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-013,Storage & data,data/store,common.liq_5m,Reported not live,Honest null or certified producer,DEFER,Data,P2,"Owner, provenance, durability, retention and restore proof required"
DAT-014,Storage & data,data/store,Golden replay corpus,No sealed V7 corpus,Versioned exact/approximate corpora,BUILD,Validation,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-015,Storage & data,data/store,Replay receipt bank,Absent,Immutable receipts and hashes,BUILD,Validation,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-016,Storage & data,data/store,Trial registry,Fragmented/absent,Permanent preregistration and result-access ledger,BUILD,Governance,P0,"Owner, provenance, durability, retention and restore proof required"
DAT-017,Storage & data,data/store,Promotion evidence bank,Reports/manual evidence,Signed gate receipts and decisions,BUILD,Governance,P1,"Owner, provenance, durability, retention and restore proof required"
DAT-018,Storage & data,data/store,Object-store archive,Unspecified,Optional sealed segment/golden corpus archive,DEFER,Data/SRE,P2,"Owner, provenance, durability, retention and restore proof required"
VEN-001,Venue & ingress,venue/feed capability,WebSocket /public pool,Route migration effective,Separate depth/bookTicker pool,REPAIR,Data,P0,Official Binance route
VEN-002,Venue & ingress,venue/feed capability,WebSocket /market pool,Legacy/unrouted risk,Separate aggTrade/mark/kline pool,REPAIR,Data,P0,Official Binance route
VEN-003,Venue & ingress,venue/feed capability,WebSocket /private pool,Private stream required,Separate user/account pool,REPAIR,Execution,P0,Official Binance route
VEN-004,Venue & ingress,venue/feed capability,Stream manifest,Absent/incomplete,Per-stream route/parser/coverage/freshness law,BUILD,Data,P0,Startup route validation
VEN-005,Venue & ingress,venue/feed capability,24-hour handover,Uncertified,Scheduled overlap/dedupe before forced close,BUILD,Data,P0,26-hour soak
VEN-006,Venue & ingress,venue/feed capability,Ping/pong handler,Implementation requires certification,3m ping/10m pong current rule,REPAIR,Data,P1,Route connection test
VEN-007,Venue & ingress,venue/feed capability,Control-message limiter,Uncertified,≤10 incoming client messages/s,BUILD,Data,P1,Subscription chaos test
VEN-008,Venue & ingress,venue/feed capability,Stream-count sharding,Uncertified,≤1024 streams/connection,BUILD,Data,P1,Manifest capacity test
VEN-009,Venue & ingress,venue/feed capability,Listen-key renewal,Existing behavior unverified,Renew/recreate before expiry; detect expired,REPAIR,Execution,P0,Private-stream interruption test
VEN-010,Venue & ingress,venue/feed capability,Local depth book,Current behavior not fully certified,Exact snapshot + U/u/pu + absolute qty,REPAIR,E01,P0,Official golden/chaos suite
VEN-011,Venue & ingress,venue/feed capability,exchangeInfo registry,Current adapter has rounding/filter guards,Versioned refresh and fail-close metadata,RETAIN,Execution/Data,P0,Source verified; runtime certify
VEN-012,Venue & ingress,venue/feed capability,Binance Algo Service,VGP already has algoOrder support,Retain; consume ALGO_UPDATE and reconcile,RETAIN,Execution,P0,Source verified; lifecycle tests
VEN-013,Venue & ingress,venue/feed capability,Unknown 503 reconciliation,Needs explicit state certification,No blind retry; stream/query resolution,REPAIR,Execution,P0,Fault-injection test
VEN-014,Venue & ingress,venue/feed capability,Normal GTX entry,VGP supports maker path,100% encoded normal maker; no fallback,RETAIN,Execution,P0,Venue transcripts
VEN-015,Venue & ingress,venue/feed capability,Normal GTX exit,Coarse maker-only boolean current,Maker-first policy with deadline,REPAIR,Execution,P0,Exit policy v2
VEN-016,Venue & ingress,venue/feed capability,SNIPE-01 taker entry,Current source capability,Forbidden/removed from all ORIGIN routes,RETIRE,Execution,P0,Static route and venue regression
VEN-017,Venue & ingress,venue/feed capability,Emergency IOC exit,Approved target,Bounded worst-price reduce-only tier,BUILD,Execution/Risk,P0,Full hedge/one-way/partial matrix
VEN-018,Venue & ingress,venue/feed capability,Emergency market exit,Target only if separately ratified,Catastrophic Tier 2 with explicit policy,BLOCKED,Risk owner,P0,Trigger/allow thresholds TBD
VEN-019,Venue & ingress,venue/feed capability,Hyperliquid adapter,Exists/reported in estate,Separate later certification,DEFER,Execution,P3,Not part of Binance-first gate
VEN-020,Venue & ingress,venue/feed capability,Other venue adapters,Future/custom,Per-venue model and evidence,DEFER,Execution,P3,No shared proof by analogy
SEC-001,Security & access,control,Venue API credentials,VGP documented keyholder; docs conflict,VGP operating role only,REPAIR,Security/Execution,P0,Inventory actual environment/process access
SEC-002,Security & access,control,MCP bearer tokens,Literal values reported in private run_stack,"Rotate, purge, secret-manager injection",BLOCKED,Security,P0,Do not copy values; incident closure evidence
SEC-003,Security & access,control,Global live.env inheritance,run_stack exports to descendants,Per-service allowlisted environment,RETIRE,Security/Operations,P0,Process environment diff
SEC-004,Security & access,control,ORIGIN OS identity,Absent,Dedicated non-privileged service account,BUILD,Operations,P0,ACL test
SEC-005,Security & access,control,ORIGIN network ACL,Absent,No gateway/account/venue-write route,BUILD,Security,P0,Negative connectivity test
SEC-006,Security & access,control,ORIGIN filesystem ACL,Absent,Read input; write owned journal/checkpoints only,BUILD,Security,P0,Negative path tests
SEC-007,Security & access,control,Account arm token,Current execution capability,Narrow execution authorization only,REPAIR,Risk/Execution,P0,V7 denied
SEC-008,Security & access,control,Risk-policy signing key,Unspecified,Governance/E08 deployment only,BUILD,Security/Risk,P1,Key custody/rotation
SEC-009,Security & access,control,Live writer DSN,Current scoped roles vary,Only authorized live bridge,REPAIR,Data/Security,P0,Role audit
SEC-010,Security & access,control,Superuser migration DSN,May be external/optional,One-shot migration job only,REPAIR,Data/Security,P1,No long-lived env
SEC-011,Security & access,control,Read-only analytics DSN,Available for MCP/Learning,Scoped by approved views,RETAIN,Data/Security,P1,No venue gateway need
SEC-012,Security & access,control,Secret scanning,Not established by evidence,CI + history + deployment environment scan,BUILD,Security,P0,Block release
SEC-013,Security & access,control,Withdrawal permission,Unverified,Disabled on all trading keys,BLOCKED,Security/Execution,P0,Venue configuration receipt
SEC-014,Security & access,control,IP allowlisting,Unverified,Enable where venue supports,BLOCKED,Security,P1,Venue configuration receipt
SEC-015,Security & access,control,Environment account separation,Reported multiple lanes,Explicit live-only canary account/risk cell,REPAIR,Risk/Execution,P0,Account identity attestation
SEC-016,Security & access,control,Two-person activation,Not fully specified,Required for high-risk promotion/emergency policy changes,BUILD,Governance,P1,Signed decisions
SEC-017,Security & access,control,SBOM/dependency lock,Unverified for new service,Immutable build SBOM and lock,BUILD,ORIGIN/Security,P1,Artifact release gate
SEC-018,Security & access,control,Audit log secret scrubbing,Unverified,No values in logs/receipts/traces/crash dumps,BUILD,Security/SRE,P0,Synthetic secret regression
OBS-001,Observability,metric/readiness,startupz,No ORIGIN endpoint,Manifest/input/checkpoint validation,BUILD,ORIGIN,P0,"Metric definition, owner, window, alert and runbook required"
OBS-002,Observability,metric/readiness,readyz,No ORIGIN endpoint,Warm/current/lease/output semantics,BUILD,ORIGIN,P0,"Metric definition, owner, window, alert and runbook required"
OBS-003,Observability,metric/readiness,livez,No ORIGIN endpoint,Event-loop/watchdog liveness,BUILD,ORIGIN,P1,"Metric definition, owner, window, alert and runbook required"
OBS-004,Observability,metric/readiness,version endpoint,No ORIGIN endpoint,Commit/artifact/manifests/epoch,BUILD,ORIGIN,P1,"Metric definition, owner, window, alert and runbook required"
OBS-005,Observability,metric/readiness,input offset/watermark,Partial current evidence,Per partition metric/heartbeat,BUILD,Data/ORIGIN,P0,"Metric definition, owner, window, alert and runbook required"
OBS-006,Observability,metric/readiness,stream route coverage,Uncertified,Per required stream/session,BUILD,Data,P0,"Metric definition, owner, window, alert and runbook required"
OBS-007,Observability,metric/readiness,sequence gap/duplicate/out-of-order,Partial,Per source/partition counters,BUILD,Data,P0,"Metric definition, owner, window, alert and runbook required"
OBS-008,Observability,metric/readiness,clock skew/availability latency,Partial,Histogram with source and quality,BUILD,Data/SRE,P1,"Metric definition, owner, window, alert and runbook required"
OBS-009,Observability,metric/readiness,checkpoint age/restore,Absent for ORIGIN,"Age, duration, checksum",BUILD,ORIGIN,P0,"Metric definition, owner, window, alert and runbook required"
OBS-010,Observability,metric/readiness,replay divergence,Prior reports only,Counter + record links,BUILD,Evidence,P0,"Metric definition, owner, window, alert and runbook required"
OBS-011,Observability,metric/readiness,stable ID collision,Absent,Zero-tolerance metric/page,BUILD,ORIGIN,P0,"Metric definition, owner, window, alert and runbook required"
OBS-012,Observability,metric/readiness,illegal lifecycle transition,Absent,Counter/reason/page threshold,BUILD,ORIGIN,P0,"Metric definition, owner, window, alert and runbook required"
OBS-013,Observability,metric/readiness,capsule funnel,Partial current route metrics,Examine→atom→candidate→withdraw per dimension,BUILD,ORIGIN,P1,"Metric definition, owner, window, alert and runbook required"
OBS-014,Observability,metric/readiness,named zero reasons,Heartbeat contract exists partially,Complete per capsule/symbol,REPAIR,ORIGIN,P1,"Metric definition, owner, window, alert and runbook required"
OBS-015,Observability,metric/readiness,producer epoch/lease,Absent,Active/expiry/renew/rejection,BUILD,Platform,P0,"Metric definition, owner, window, alert and runbook required"
OBS-016,Observability,metric/readiness,shadow contamination,Partial controls,Continuous zero-tolerance metric,BUILD,Platform/SRE,P0,"Metric definition, owner, window, alert and runbook required"
OBS-017,Observability,metric/readiness,manifest mismatch,Current attestations partial,Exact tuple mismatch metric/page,BUILD,All owners,P0,"Metric definition, owner, window, alert and runbook required"
OBS-018,Observability,metric/readiness,ledger append/fsync,Current ledger exists,Latency/failure/disk risk,REPAIR,SRE,P0,"Metric definition, owner, window, alert and runbook required"
OBS-019,Observability,metric/readiness,resource metrics,Prometheus configured,CPU/memory/FD/queue/disk bounded labels,REPAIR,SRE,P1,"Metric definition, owner, window, alert and runbook required"
OBS-020,Observability,metric/readiness,latency stages,v1 budgets exist,p50/p95/p99 full chain,REPAIR,SRE/owners,P1,"Metric definition, owner, window, alert and runbook required"
OBS-021,Observability,metric/readiness,unknown orders,Current reconciliation,Count/age/page,REPAIR,Execution,P0,"Metric definition, owner, window, alert and runbook required"
OBS-022,Observability,metric/readiness,fill v3 quarantine,Absent,Completeness/reason/age,BUILD,Execution,P0,"Metric definition, owner, window, alert and runbook required"
OBS-023,Observability,metric/readiness,position reconciliation lag,Current reconciler,Exact age/parity/page,REPAIR,Execution,P0,"Metric definition, owner, window, alert and runbook required"
OBS-024,Observability,metric/readiness,unprotected position duration,Partial/current stop metrics,Zero-tolerance deadline,REPAIR,Execution,P0,"Metric definition, owner, window, alert and runbook required"
OBS-025,Observability,metric/readiness,emergency exits,Target,Trigger/tier/fills/residual/slippage/failure,BUILD,Execution/Risk,P0,"Metric definition, owner, window, alert and runbook required"
OBS-026,Observability,metric/readiness,economic funnel/net EV,Current money attribution insufficient,Separate money/control/treatment metrics,BUILD,E10/Evidence,P1,"Metric definition, owner, window, alert and runbook required"
OPS-001,Deployment & operations,artifact/runbook,Immutable build artifact,Current manual/tag deployment,Commit+artifact digest,BUILD,Release,P0,Acceptance rehearsal/receipt required
OPS-002,Deployment & operations,artifact/runbook,Signed activation manifest,Absent,Separate deploy from authority,BUILD,Governance,P0,Acceptance rehearsal/receipt required
OPS-003,Deployment & operations,artifact/runbook,Transport binding manifest,bus_map logical only,File-ledger first; NATS optional,BUILD,Platform,P0,Acceptance rehearsal/receipt required
OPS-004,Deployment & operations,artifact/runbook,Dedicated service definition,Absent for ORIGIN,Resource/ACL/env constraints,BUILD,Operations,P0,Acceptance rehearsal/receipt required
OPS-005,Deployment & operations,artifact/runbook,Blue/green ORIGIN deployment,Absent,Dark green before lease transfer,BUILD,Operations,P1,Acceptance rehearsal/receipt required
OPS-006,Deployment & operations,artifact/runbook,Post-deploy replay smoke,Partial E2E,Known tape/output hash,BUILD,Validation,P0,Acceptance rehearsal/receipt required
OPS-007,Deployment & operations,artifact/runbook,Authority rollback,No lease mechanism,Revoke/fence/switch manifest,BUILD,Operations/Governance,P0,Acceptance rehearsal/receipt required
OPS-008,Deployment & operations,artifact/runbook,Crash-loop handling,Current keeper behavior,No automatic authority inheritance,REPAIR,Operations,P0,Acceptance rehearsal/receipt required
OPS-009,Deployment & operations,artifact/runbook,26-hour ingress soak,Unverified,Cross 24h forced lifetime,BUILD,SRE/Data,P0,Acceptance rehearsal/receipt required
OPS-010,Deployment & operations,artifact/runbook,Disaster recovery,Backup/DR topology target,Sealed ledger/checkpoint restore,BUILD,SRE/Data,P1,Acceptance rehearsal/receipt required
OPS-011,Deployment & operations,artifact/runbook,Data migration job,Some external migrations,"Additive, one-shot scoped identity",REPAIR,Data,P1,Acceptance rehearsal/receipt required
OPS-012,Deployment & operations,artifact/runbook,Runbook: ingress gap,Partial,Route/book resync and entry block,BUILD,Data Ops,P0,Acceptance rehearsal/receipt required
OPS-013,Deployment & operations,artifact/runbook,Runbook: unknown submit,Partial,Reconcile-before-retry,BUILD,Execution Ops,P0,Acceptance rehearsal/receipt required
OPS-014,Deployment & operations,artifact/runbook,Runbook: protection failure,Partial,Maker deadline→emergency reduction,BUILD,Execution Ops,P0,Acceptance rehearsal/receipt required
OPS-015,Deployment & operations,artifact/runbook,Runbook: producer split brain,Absent,Fence/revoke/investigate,BUILD,Platform Ops,P0,Acceptance rehearsal/receipt required
OPS-016,Deployment & operations,artifact/runbook,Runbook: rollback,Prior recommendation,One-action scoped flow + open position handling,BUILD,Operations,P0,Acceptance rehearsal/receipt required
OPS-017,Deployment & operations,artifact/runbook,Runbook: secret exposure,Needed now,Rotate/purge/audit/redeploy,BUILD,Security,P0,Acceptance rehearsal/receipt required
OPS-018,Deployment & operations,artifact/runbook,Runbook: disk/ledger failure,Partial,Stop entries before evidence loss,BUILD,SRE,P0,Acceptance rehearsal/receipt required
OPS-019,Deployment & operations,artifact/runbook,Operator ownership roster,Unspecified in RC1,Named on-call/approvers/escalation,BLOCKED,Operations,P0,Acceptance rehearsal/receipt required
OPS-020,Deployment & operations,artifact/runbook,Audit retention periods,Not fully specified,Per raw/money/control/test artifact,BLOCKED,Governance/Legal,P1,Acceptance rehearsal/receipt required
TST-001,Tests & evidence,test/data artifact,224-test falsification registry,Exists in prior blueprint,Reset target status to NOT_RUN; extend critical 2026 cases,RETAIN,Validation,P0,Verification Matrix and gate owner
TST-002,Tests & evidence,test/data artifact,Contract golden vectors,Partial current schemas,Valid/invalid/per-language round trips,BUILD,Contracts,P0,Verification Matrix and gate owner
TST-003,Tests & evidence,test/data artifact,Structure golden vectors,Prior definitions only,Long/short exact fixtures for each type,BUILD,ORIGIN,P0,Verification Matrix and gate owner
TST-004,Tests & evidence,test/data artifact,Property/mutation tests,Not proven,Prefix/restart/duplicate/mirror/null/identity,BUILD,ORIGIN,P0,Verification Matrix and gate owner
TST-005,Tests & evidence,test/data artifact,Binance route certification,Needed after 2026 change,"/public,/market,/private coverage tests",BUILD,Data,P0,Verification Matrix and gate owner
TST-006,Tests & evidence,test/data artifact,Book chaos corpus,Not proven,Snapshot/gap/duplicate/reconnect cases,BUILD,Data,P0,Verification Matrix and gate owner
TST-007,Tests & evidence,test/data artifact,Private/algo corpus,Not proven,"Listen expiry, ALGO_UPDATE, restart/reconcile",BUILD,Execution,P0,Verification Matrix and gate owner
TST-008,Tests & evidence,test/data artifact,Unknown-submit fault suite,Not proven,503/timeouts/query/adoption/retry,BUILD,Execution,P0,Verification Matrix and gate owner
TST-009,Tests & evidence,test/data artifact,Emergency-exit matrix,Target,One-way/hedge/partial/stale/duplicate/disconnect,BUILD,Execution/Risk,P0,Verification Matrix and gate owner
TST-010,Tests & evidence,test/data artifact,Exact replay corpus,Raw file ledger available,Seal receipt-timed golden ranges,BUILD,Validation,P0,Verification Matrix and gate owner
TST-011,Tests & evidence,test/data artifact,Approximate historical corpus,Historical sources may lack receipt times,Label approximate; no exact certification,REPAIR,Evidence,P1,Verification Matrix and gate owner
TST-012,Tests & evidence,test/data artifact,Control/treatment paired corpus,Absent,Same offsets + divergence classification,BUILD,Evidence,P1,Verification Matrix and gate owner
TST-013,Tests & evidence,test/data artifact,Trial family ledger,Absent/fragmented,Count failures/renames/slices/agents,BUILD,Governance,P0,Verification Matrix and gate owner
TST-014,Tests & evidence,test/data artifact,Locked historical OOS,Not established,Chronological purged/embargoed holdout,BUILD,Research,P1,Verification Matrix and gate owner
TST-015,Tests & evidence,test/data artifact,Prospective dark window,Not run,Frozen manifest and zero authority,BUILD,Research/SRE,P1,Verification Matrix and gate owner
TST-016,Tests & evidence,test/data artifact,Power/sample calculation,TBD,Pre-register before money evidence,BLOCKED,Research/Risk,P0,Verification Matrix and gate owner
TST-017,Tests & evidence,test/data artifact,Safety canary budget,TBD,Absolute loss/anomaly/emergency bounds,BLOCKED,Risk owner,P0,Verification Matrix and gate owner
TST-018,Tests & evidence,test/data artifact,Economic gate thresholds,Recommended only,Owner-ratified CI/PBO/DSR/multiplicity,BLOCKED,Research/Governance,P0,Verification Matrix and gate owner
TST-019,Tests & evidence,test/data artifact,Release gate receipts,Absent,Machine-readable signed evidence per gate,BUILD,Governance,P1,Verification Matrix and gate owner
TST-020,Tests & evidence,test/data artifact,Legacy divergence taxonomy,Prior reports,Per-event intentional/unexplained register,BUILD,Evidence,P1,Verification Matrix and gate owner
TST-021,Tests & evidence,test/data artifact,Maker fill calibration,Money evidence insufficient,Venue-confirmed queue/fill model calibration,BUILD,Execution research,P1,Verification Matrix and gate owner
TST-022,Tests & evidence,test/data artifact,Cost/fee/funding model,Static assumptions current,Actual account-tier facts + versioned scenarios,REPAIR,E10/Research,P1,Verification Matrix and gate owner
MCP-001,MCP & evidence UI,reader/tool family,MCP core/tool catalog,207 tools/23 families reported 2026-08-07,Read-only evidence catalog,RETAIN,Evidence,P2,No secret values or control verbs
MCP-002,MCP & evidence UI,reader/tool family,fill_lineage family,Dark by default,Enable only after strict v3 source/auth evidence,BLOCKED,Evidence/Execution,P1,No secret values or control verbs
MCP-003,MCP & evidence UI,reader/tool family,investigation family,Dark by default,Scoped direct read after auth verification,BLOCKED,Evidence,P1,No secret values or control verbs
MCP-004,MCP & evidence UI,reader/tool family,normalization family,Dark by default,Expose v2/v3 provenance and nulls,BLOCKED,Evidence/Data,P2,No secret values or control verbs
MCP-005,MCP & evidence UI,reader/tool family,runtime family,Dark by default,Source/deploy/runtime/authority separate status,BLOCKED,Evidence/SRE,P1,No secret values or control verbs
MCP-006,MCP & evidence UI,reader/tool family,dual_edge family,Dark by default,Control/treatment/divergence read face,BUILD,Evidence,P1,No secret values or control verbs
MCP-007,MCP & evidence UI,reader/tool family,scorecard family,Dark by default,Population-labeled offline scorecard,DEFER,Evidence,P2,No secret values or control verbs
MCP-008,MCP & evidence UI,reader/tool family,scorecard_live family,Dark by default,Strict money-only v3 scorecard,BLOCKED,Evidence/E10,P1,No secret values or control verbs
MCP-009,MCP & evidence UI,reader/tool family,NATS bus status,Reported unavailable,Honest unavailable until bus certified,DEFER,Platform,P3,No secret values or control verbs
MCP-010,MCP & evidence UI,reader/tool family,Prometheus-dependent tools,Some reported unavailable,Honest local fallback or certified metrics backend,REPAIR,SRE/Evidence,P2,No secret values or control verbs
MCP-011,MCP & evidence UI,reader/tool family,ORIGIN structure read face,Absent,Clocks/identity/lifecycle/provenance,BUILD,ORIGIN/Evidence,P1,No secret values or control verbs
MCP-012,MCP & evidence UI,reader/tool family,ORIGIN lease/attestation read face,Absent,Exact authority and bundle evidence,BUILD,Platform/Evidence,P0,No secret values or control verbs
MCP-013,MCP & evidence UI,reader/tool family,Money control verbs,Not authorized,Permanently absent from MCP,RETAIN,Security,P0,No secret values or control verbs
DEP-001,Deprecations,retirement/deferment,Legacy E02 detector authority,Current,Retire scope-by-scope after ORIGIN promotion,RETIRE,Engine,P1,Removal or deferral acceptance proof
DEP-002,Deprecations,retirement/deferment,Packet-hash/now-based structure IDs,Historical risk,Replace with stable occurrence identity,RETIRE,ORIGIN,P0,Removal or deferral acceptance proof
DEP-003,Deprecations,retirement/deferment,Generic swing alias,Current semantic ambiguity,Typed level registry only,RETIRE,ORIGIN,P0,Removal or deferral acceptance proof
DEP-004,Deprecations,retirement/deferment,Boolean-only FVG fill,Legacy shortcut,Penetration lifecycle,RETIRE,ORIGIN,P1,Removal or deferral acceptance proof
DEP-005,Deprecations,retirement/deferment,Large-candle OB shortcut,Legacy science defect,Origin→displacement→BOS causal rule,RETIRE,ORIGIN,P0,Removal or deferral acceptance proof
DEP-006,Deprecations,retirement/deferment,Opposite BOS relabeled CHOCH,Legacy semantic defect,Protected-swing transition only,RETIRE,ORIGIN,P0,Removal or deferral acceptance proof
DEP-007,Deprecations,retirement/deferment,Touch-as-fill simulation,Research shortcut,Queue uncertainty + venue confirmation,RETIRE,Research,P0,Removal or deferral acceptance proof
DEP-008,Deprecations,retirement/deferment,Universal fill-rate >98% KPI,Topology target,Net EV/fill-quality objective,RETIRE,Evidence,P1,Removal or deferral acceptance proof
DEP-009,Deprecations,retirement/deferment,Average-only <2bps slippage KPI,Topology target,p50/p95/p99/worst by route,RETIRE,Evidence,P1,Removal or deferral acceptance proof
DEP-010,Deprecations,retirement/deferment,Production dryrun/testnet/paper modes,Current docs/flags,LIVE-only production; offline harness separate,RETIRE,Operations,P0,Removal or deferral acceptance proof
DEP-011,Deprecations,retirement/deferment,SNIPE-01 taker entries,Current VGP capability,Forbidden on ORIGIN routes,RETIRE,Execution,P0,Removal or deferral acceptance proof
DEP-012,Deprecations,retirement/deferment,Global semantic env flags,Current run_stack sprawl,Signed manifest selector only,RETIRE,Config/Operations,P0,Removal or deferral acceptance proof
DEP-013,Deprecations,retirement/deferment,Global live.env export,Current security defect,Per-service allowlist,RETIRE,Security,P0,Removal or deferral acceptance proof
DEP-014,Deprecations,retirement/deferment,Duplicate/shadow executors,Current optional paths,One E09 authority; offline simulator only,RETIRE,Execution,P0,Removal or deferral acceptance proof
DEP-015,Deprecations,retirement/deferment,Direct model-to-execution,Constitutionally forbidden,E07→E08→E09 only,RETIRE,Architecture,P0,Removal or deferral acceptance proof
DEP-016,Deprecations,retirement/deferment,NATS as assumed deployed bus,Diagram/schema implication,Transport-neutral; certify before binding,RETIRE,Platform,P1,Removal or deferral acceptance proof
DEP-017,Deprecations,retirement/deferment,In-place fill.v2 tightening,Tempting migration,Strict new fill.v3,RETIRE,Contracts,P0,Removal or deferral acceptance proof
DEP-018,Deprecations,retirement/deferment,Online auto-tuning,Target learning-loop implication,Offline governed artifact only,DEFER,Learning/Governance,P0,Removal or deferral acceptance proof
DEP-019,Deprecations,retirement/deferment,Multiple-entry initial canary,Historically weaker evidence,Single entry first,DEFER,Risk/Research,P1,Removal or deferral acceptance proof
DEP-020,Deprecations,retirement/deferment,Hyperliquid first-wave certification,Available adapter,Binance first; separate later,DEFER,Execution,P2,Removal or deferral acceptance proof
